ESTAGIO;MES;ANO;1
1;1;2020;28092
2;2;2020;29727
3;3;2020;28377
4;4;2020;27052
5;5;2020;25426
6;6;2020;24655
7;7;2020;24842
8;8;2020;26082
9;9;2020;26926
10;10;2020;27863
11;11;2020;27142
12;12;2020;26936
13;1;2021;29075.22
14;2;2021;30767.445
15;3;2021;29370.195
16;4;2021;27998.82
17;5;2021;26315.91
18;6;2021;25517.925
19;7;2021;25711.47
20;8;2021;26994.87
21;9;2021;27868.41
22;10;2021;28838.205
23;11;2021;28091.97
24;12;2021;27878.76
25;1;2022;30092.8527
26;2;2022;31844.30558
27;3;2022;30398.15183
28;4;2022;28978.7787
29;5;2022;27236.96685
30;6;2022;26411.05238
31;7;2022;26611.37145
32;8;2022;27939.69045
33;9;2022;28843.80435
34;10;2022;29847.54218
35;11;2022;29075.18895
36;12;2022;28854.5166
37;1;2023;31146.10254
38;2;2023;32958.85627
39;3;2023;31462.08714
40;4;2023;29993.03595
41;5;2023;28190.26069
42;6;2023;27335.43921
43;7;2023;27542.76945
44;8;2023;28917.57962
45;9;2023;29853.3375
46;10;2023;30892.20615
47;11;2023;30092.82056
48;12;2023;29864.42468
49;1;2024;32236.21613
50;2;2024;34112.41624
51;3;2024;32563.26019
52;4;2024;31042.79221
53;5;2024;29176.91981
54;6;2024;28292.17958
55;7;2024;28506.76638
56;8;2024;29929.6949
57;9;2024;30898.20431
58;10;2024;31973.43337
59;11;2024;31146.06928
60;12;2024;30909.67954
61;1;2025;32236.21613
62;2;2025;34112.41624
63;3;2025;32563.26019
64;4;2025;31042.79221
65;5;2025;29176.91981
66;6;2025;28292.17958
67;7;2025;28506.76638
68;8;2025;29929.6949
69;9;2025;30898.20431
70;10;2025;31973.43337
71;11;2025;31146.06928
72;12;2025;30909.67954
