NUMERO;NOME;SUBSISTEMA;BACIA;JUSANTE_TURBINAS;JUSANTE_VERTIMENTO;USINA_EM_OPERACAO;COMPATIBILIDADE_SPT;CONSIDERAR_USINA;CONSIDERAR_MODIFICACAO;USINA_FIO_DAGUA;HISTORICO_AFLUENCIA;POTENCIA_MAXIMA;FATOR_DE_PODUCAO_MEDIO_POR_METRO;TURBINAMENTO_MAXIMO;DEFLUENCIA_MINIMA;INDISPONIBILIDADE_FORCADA;INDISPONIBILIDADE_PROGRAMADA;NUM_CONJUNTO_DE_MAQUINAS;NUM_MAQUINAS_BASE;NUM_POLINOMIO_JUSANTE;TIPO_DE_PERDAS;VALOR_DAS_PERDAS;VOLUME_MINIMO;VOLUME_MAXIMO;VOLUME_MINIMO_OPERACIONAL;VOLUME_MAXIMO_OPERACIONAL;COTA_MINIMO;COTA_MAXIMO;COTA_MINIMO_OPERACIONAL;COTA_MAXIMO_OPERACIONAL;CANAL_FUGA_MEDIO;VOLUME_INICIAL;POLI_COTA_VOLUME_0;POLI_COTA_VOLUME_1;POLI_COTA_VOLUME_2;POLI_COTA_VOLUME_3;POLI_COTA_VOLUME_4;POLI_COTA_AREA_0;POLI_COTA_AREA_1;POLI_COTA_AREA_2;POLI_COTA_AREA_3;POLI_COTA_AREA_4;EVAPORACAO_01;EVAPORACAO_02;EVAPORACAO_03;EVAPORACAO_04;EVAPORACAO_05;EVAPORACAO_06;EVAPORACAO_07;EVAPORACAO_08;EVAPORACAO_09;EVAPORACAO_10;EVAPORACAO_11;EVAPORACAO_12;POLI_JUSANTE_1_HREF;POLI_JUSANTE_1_COEF_0;POLI_JUSANTE_1_COEF_1;POLI_JUSANTE_1_COEF_2;POLI_JUSANTE_1_COEF_3;POLI_JUSANTE_1_COEF_4;POLI_JUSANTE_2_HREF;POLI_JUSANTE_2_COEF_0;POLI_JUSANTE_2_COEF_1;POLI_JUSANTE_2_COEF_2;POLI_JUSANTE_2_COEF_3;POLI_JUSANTE_2_COEF_4;POLI_JUSANTE_3_HREF;POLI_JUSANTE_3_COEF_0;POLI_JUSANTE_3_COEF_1;POLI_JUSANTE_3_COEF_2;POLI_JUSANTE_3_COEF_3;POLI_JUSANTE_3_COEF_4;POLI_JUSANTE_4_HREF;POLI_JUSANTE_4_COEF_0;POLI_JUSANTE_4_COEF_1;POLI_JUSANTE_4_COEF_2;POLI_JUSANTE_4_COEF_3;POLI_JUSANTE_4_COEF_4;POLI_JUSANTE_5_HREF;POLI_JUSANTE_5_COEF_0;POLI_JUSANTE_5_COEF_1;POLI_JUSANTE_5_COEF_2;POLI_JUSANTE_5_COEF_3;POLI_JUSANTE_5_COEF_4;POLI_JUSANTE_6_HREF;POLI_JUSANTE_6_COEF_0;POLI_JUSANTE_6_COEF_1;POLI_JUSANTE_6_COEF_2;POLI_JUSANTE_6_COEF_3;POLI_JUSANTE_6_COEF_4;CONJUNTO_1_NUM_MAQUINAS;CONJUNTO_1_POTENCIA_REF;CONJUNTO_1_VAZAO_REF;CONJUNTO_1_QUEDA_REF;CONJUNTO_1_TIPO_TURBINA;CONJUNTO_2_NUM_MAQUINAS;CONJUNTO_2_POTENCIA_REF;CONJUNTO_2_VAZAO_REF;CONJUNTO_2_QUEDA_REF;CONJUNTO_2_TIPO_TURBINA;CONJUNTO_3_NUM_MAQUINAS;CONJUNTO_3_POTENCIA_REF;CONJUNTO_3_VAZAO_REF;CONJUNTO_3_QUEDA_REF;CONJUNTO_3_TIPO_TURBINA;CONJUNTO_4_NUM_MAQUINAS;CONJUNTO_4_POTENCIA_REF;CONJUNTO_4_VAZAO_REF;CONJUNTO_4_QUEDA_REF;CONJUNTO_4_TIPO_TURBINA;CONJUNTO_5_NUM_MAQUINAS;CONJUNTO_5_POTENCIA_REF;CONJUNTO_5_VAZAO_REF;CONJUNTO_5_QUEDA_REF;CONJUNTO_5_TIPO_TURBINA;USINA_FIO_DAGUA_OFICIAL
1;FUNIL-GRANDE;1;1;12;12;1;3;1;1;1;1;180;0.008829;585;0;0;0;1;2;1;1;0.84;304;304;304;304;808;808;808;808;768;0;808;0;0;0;0;37.71;0;0;0;0;6;6;31;42;48;47;33;29;33;22;10;14;0;768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;60;195;34.9;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
2;BATALHA     ;1;2;3;3;1;16;1;1;0;2;52;0.009025;154;0;0;0;1;2;1;1;1.2;430.05;1781.61;430.05;1781.61;785;800;785;800;755.84;20.82;775.046;0.0263973;-1.06E-05;1.99E-09;0;-4577.07;589.401;-4.65E-09;-6.03E-13;0;0;15;23;42;66;52;91;108;94;44;3;15;0;754;0.0136;-1.18E-05;5.98E-09;-1.14E-12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;26.25;77;37.7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;SERRA FACAO ;1;2;24;24;1;17;1;0;0;3;212;0.008927;324;0;0;0;1;2;1;1;1.86;1752;5199;1752;5199;732.5;756;732.5;756;675.81;35;682.604;0.0487297;-1.59E-05;2.67E-09;-1.71E-13;-817618;3330.02;-45.262;0.00205337;0;6;8;20;35;55;57;57;59;52;24;16;31;0;673.931;0.00865979;-1.05E-05;7.66E-09;-2.07E-12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;106.29;162;73.66;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;CAPIM BRANC1;1;2;5;5;1;21;1;1;0;4;240;0.008829;495;0;0;0;1;3;1;1;1.8;228.27;241.13;228.27;241.13;623.3;624;623.3;624;565;42.93;594.02;0.35164;-0.0021575;7.36E-06;-9.60E-09;-3.58E+06;23536.8;-579.351;0.0633577;-2.60E-05;2;0;18;38;51;51;48;46;45;18;6;25;0;564.637;0.00555158;-1.85E-06;3.25E-10;-2.09E-14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;80;165;55;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;CAPIM BRANC2;1;2;28;28;1;22;1;1;1;5;210;0.008829;537;0;0;0;1;2;1;1;1.1;878;879;878;879;564.99;565;564.99;565;518.4;0;527.36;0.11044;-0.00018921;1.93E-07;-7.45E-11;1.07E+06;-7786.4;212.496;-0.0257745;1.17E-05;2;0;18;40;55;56;53;49;50;19;4;23;0;517.2;0.0045396;-2.47E-06;1.06E-09;-1.87E-13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;70;179;44.4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
6;CORUMBA IV  ;1;2;8;8;1;23;1;0;0;6;127;0.009123;208;0;0;0;1;1;1;1;1.2;2936.6;3708;2936.6;3708;837;842.6;837;842.6;771.2;23.1;789.333;0.0396662;-1.50E-05;3.07E-09;-2.37E-13;-243684;931.451;-118.791;0.0005055;0;19;8;19;32;56;64;73;84;86;53;13;44;0;769.387;0.0147315;-1.02E-05;3.78E-09;-5.26E-13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;63.5;104;66.76;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;PIRAJU      ;1;6;40;40;1;38;1;0;1;7;80;0.008829;362;0;0;0;1;2;1;1;0.5;84;84;84;84;531.5;531.5;531.5;531.5;505;0;531.5;0;0;0;0;12.75;0;0;0;0;30;23;44;64;73;61;46;40;38;16;4;39;0;503.81;0.00641913;-5.36E-06;2.69E-09;-5.06E-13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;40;181;25;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
8;CORUMBA III ;1;2;27;27;1;124;1;0;0;8;96;0.009086;278;0;0;0;2;2;1;1;1.06;709;972;709;972;768;772;768;772;729.7;10.07;749.674;0.0203488;4.57E-05;-7.84E-08;3.52E-11;41799;-111.95;0.075;0;0;12;11;19;32;57;63;68;72;72;42;21;37;0;727.913;0.017472;-3.48E-05;3.96E-08;-1.64E-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;47.804;138;38.2;1;1;48.643;140;38.2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;OURINHOS    ;1;6;41;41;1;133;1;0;1;9;44;0.008731;486;0;0;0;1;2;1;1;0.19;20.82;20.82;20.82;20.82;398;398;398;398;387;0;398;0;0;0;0;4.33;0;0;0;0;29;22;42;59;64;52;41;41;47;21;12;36;0;385.642;0.0037213;-1.45E-06;5.33E-10;-7.35E-14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;14.7;162;10.4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
10;CAMARGOS    ;1;1;11;11;1;1;1;1;0;10;46;0.008525;220;0;0;0;1;1;1;1;1.2;120;792;120;792;899;913;899;913;886.1;38.62;892.97;0.062089;-0.00011041;1.25E-07;-5.55E-11;13334.3;-328.661;0.0200893;0;0;0;2;29;40;51;46;32;23;24;15;4;7;0;886.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;23;110;24.6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
