;MES;ANO;1;2;3;4;5;6
0;1;1931;4076;4230;1754;1462;2065;1812
1;2;1931;7681;6528;3341;758;1646;2293
2;3;1931;5921;7320;2193;707;3108;2048
3;4;1931;4600;5565;1566;469;2119;1395
4;5;1931;2789;3103;1020;3167;2298;1279
5;6;1931;2062;2004;748;3236;2220;1111
6;7;1931;1644;1830;594;1957;1554;1148
7;8;1931;1301;1586;478;844;1216;852
8;9;1931;1439;1530;670;1937;1391;1072
9;10;1931;1340;1578;600;1484;1278;1199
10;11;1931;1447;1669;623;835;1309;1062
11;12;1931;2479;2176;1531;1073;1581;1639
12;1;1932;4021;4096;1559;1044;2023;1331
13;2;1932;4082;4844;1405;1454;2412;2062
14;3;1932;3398;3684;1407;1888;2038;1541
15;4;1932;1965;2589;879;3583;2175;1570
16;5;1932;1528;1786;752;2152;1647;1299
17;6;1932;1431;1624;731;2358;1698;1363
18;7;1932;1092;1380;502;1323;1454;1086
19;8;1932;905;1065;478;1032;1236;1050
20;9;1932;885;849;369;1644;1079;1044
21;10;1932;1193;1264;515;2647;1629;1419
22;11;1932;1286;1632;474;1055;1356;1578
23;12;1932;3104;3209;1382;1396;2005;2522
24;1;1933;2965;6183;1198;573;2819;1953
25;2;1933;1641;5086;993;637;2861;1775
26;3;1933;1583;3667;714;630;2281;1121
27;4;1933;1381;3363;482;377;2048;712
28;5;1933;1022;2174;521;411;1751;625
29;6;1933;827;1673;408;268;1379;610
30;7;1933;767;1497;354;306;1221;530
31;8;1933;757;1151;302;213;1110;390
32;9;1933;690;1053;319;455;1022;462
33;10;1933;943;1246;356;936;1131;478
34;11;1933;684;1456;273;667;1095;386
35;12;1933;1494;2856;468;382;1781;472
36;1;1934;2652;3554;791;544;1909;926
37;2;1934;1589;2616;804;1144;1863;1224
38;3;1934;1694;2668;631;920;1792;859
39;4;1934;1115;2125;438;1168;1662;540
40;5;1934;788;1596;320;856;1418;328
41;6;1934;646;917;282;498;1259;435
42;7;1934;570;787;234;419;1069;379
43;8;1934;484;642;214;374;951;271
44;9;1934;574;726;259;475;999;372
45;10;1934;639;938;329;1004;978;479
46;11;1934;743;844;254;444;875;227
47;12;1934;2642;1048;1586;1030;1176;1570
48;1;1935;3873;4528;824;564;1636;797
49;2;1935;5685;5171;1506;444;1680;936
50;3;1935;4189;4643;1273;854;1912;1098
51;4;1935;3286;4959;762;559;1875;640
52;5;1935;2247;3012;465;342;1426;457
53;6;1935;1628;1833;454;1022;1658;644
54;7;1935;1250;1350;343;1132;1325;546
55;8;1935;1133;1180;353;2110;1594;994
56;9;1935;1006;675;548;2689;1459;1344
57;10;1935;1774;974;1376;6836;2098;5218
58;11;1935;1383;1192;636;1960;1737;1877
59;12;1935;1726;2019;616;1232;1834;1180
60;1;1936;1691;2077;1120;2275;2204;2696
61;2;1936;1372;1338;821;812;1366;1357
62;3;1936;4179;3921;1350;537;1413;1227
63;4;1936;2481;2792;708;379;1447;692
64;5;1936;1681;1723;494;670;1408;576
65;6;1936;1114;1166;336;5068;1302;453
66;7;1936;900;1054;303;1159;1070;368
67;8;1936;825;799;343;2141;1115;552
68;9;1936;1059;674;613;1913;1281;1036
69;10;1936;836;704;399;1552;1001;787
70;11;1936;1191;954;392;1282;1129;516
71;12;1936;2835;1556;1239;848;1350;1165
72;1;1937;5950;2776;1833;1056;1851;3393
73;2;1937;3831;960;1225;817;2226;1740
74;3;1937;2695;1704;1184;1306;2170;1853
75;4;1937;2104;2106;1226;1193;1540;1543
76;5;1937;1927;1412;904;815;1376;1055
77;6;1937;1547;1256;798;614;1403;1087
78;7;1937;1098;932;479;435;1060;764
79;8;1937;889;718;404;642;946;873
80;9;1937;778;644;334;634;911;649
81;10;1937;1401;908;624;2059;1185;1477
82;11;1937;1916;1795;870;2563;1649;3129
83;12;1937;4496;3079;978;1136;1446;1239
84;1;1938;4711;3677;1004;1021;1578;992
85;2;1938;3497;2498;797;2105;2038;1233
86;3;1938;3199;2583;828;772;1358;844
87;4;1938;2144;2013;659;850;1437;736
88;5;1938;1872;1215;545;2095;1559;1233
89;6;1938;1428;1038;450;3611;1364;1177
90;7;1938;1083;980;360;4482;1409;1442
91;8;1938;986;701;390;1159;1085;1366
92;9;1938;964;578;438;936;897;990
93;10;1938;1330;659;710;852;1057;896
94;11;1938;1945;976;639;789;995;756
95;12;1938;3192;2623;989;585;1450;830
