ESTAGIO;MES;ANO;1;2;3
1;1;2016;0.1008;0.5108;0.3884
2;2;2016;0.1033;0.5194;0.3773
3;3;2016;0.1048;0.5229;0.3723
4;4;2016;0.1042;0.5208;0.375
5;5;2016;0.1008;0.5108;0.3884
6;6;2016;0.1083;0.5334;0.3583
7;7;2016;0.1048;0.5229;0.3723
8;8;2016;0.1089;0.5349;0.3562
9;9;2016;0.1042;0.5208;0.375
10;10;2016;0.1009;0.5115;0.3876
11;11;2016;0.1;0.5083;0.3917
12;12;2016;0.1089;0.5349;0.3562
13;1;2017;0.1048;0.5229;0.3723
14;2;2017;0.1025;0.5171;0.3804
15;3;2017;0.1089;0.5349;0.3562
16;4;2017;0.0958;0.4959;0.4083
17;5;2017;0.1048;0.5229;0.3723
18;6;2017;0.1042;0.5208;0.375
19;7;2017;0.1048;0.5229;0.3723
20;8;2017;0.1089;0.5349;0.3562
21;9;2017;0.1042;0.5208;0.375
22;10;2017;0.1009;0.5115;0.3876
23;11;2017;0.1;0.5083;0.3917
24;12;2017;0.1008;0.5108;0.3884
25;1;2018;0.1048;0.5229;0.3723
26;2;2018;0.1025;0.5171;0.3804
27;3;2018;0.1048;0.5229;0.3723
28;4;2018;0.1;0.5083;0.3917
29;5;2018;0.1008;0.5108;0.3884
30;6;2018;0.1083;0.5334;0.3583
31;7;2018;0.1048;0.5229;0.3723
32;8;2018;0.1089;0.5349;0.3562
33;9;2018;0.1;0.5083;0.3917
34;10;2018;0.105;0.5235;0.3715
35;11;2018;0.1;0.5083;0.3917
36;12;2018;0.1008;0.5108;0.3884
37;1;2019;0.1048;0.5229;0.3723
38;2;2019;0.107;0.5304;0.3626
39;3;2019;0.1008;0.5108;0.3884
40;4;2019;0.1042;0.5208;0.375
41;5;2019;0.1048;0.5229;0.3723
42;6;2019;0.1;0.5083;0.3917
43;7;2019;0.1089;0.5349;0.3562
44;8;2019;0.1089;0.5349;0.3562
45;9;2019;0.1;0.5083;0.3917
46;10;2019;0.105;0.5235;0.3715
47;11;2019;0.1;0.5083;0.3917
48;12;2019;0.1008;0.5108;0.3884
49;1;2020;0.1048;0.5229;0.3723
50;2;2020;0.1033;0.5194;0.3773
51;3;2020;0.1048;0.5229;0.3723
52;4;2020;0.1;0.5083;0.3917
53;5;2020;0.1008;0.5108;0.3884
54;6;2020;0.1042;0.5208;0.375
55;7;2020;0.1089;0.5349;0.3562
56;8;2020;0.1048;0.5229;0.3723
57;9;2020;0.1042;0.5208;0.375
58;10;2020;0.105;0.5235;0.3715
59;11;2020;0.1;0.5083;0.3917
60;12;2020;0.1048;0.5229;0.3723
61;1;2021;0.1048;0.5229;0.3723
62;2;2021;0.1033;0.5194;0.3773
63;3;2021;0.1048;0.5229;0.3723
64;4;2021;0.1;0.5083;0.3917
65;5;2021;0.1008;0.5108;0.3884
66;6;2021;0.1042;0.5208;0.375
67;7;2021;0.1089;0.5349;0.3562
68;8;2021;0.1048;0.5229;0.3723
69;9;2021;0.1042;0.5208;0.375
70;10;2021;0.105;0.5235;0.3715
71;11;2021;0.1;0.5083;0.3917
72;12;2021;0.1048;0.5229;0.3723
73;1;2022;0.1048;0.5229;0.3723
74;2;2022;0.1033;0.5194;0.3773
75;3;2022;0.1048;0.5229;0.3723
76;4;2022;0.1;0.5083;0.3917
77;5;2022;0.1008;0.5108;0.3884
78;6;2022;0.1042;0.5208;0.375
79;7;2022;0.1089;0.5349;0.3562
80;8;2022;0.1048;0.5229;0.3723
81;9;2022;0.1042;0.5208;0.375
82;10;2022;0.105;0.5235;0.3715
83;11;2022;0.1;0.5083;0.3917
84;12;2022;0.1048;0.5229;0.3723
85;1;2023;0.1048;0.5229;0.3723
86;2;2023;0.1033;0.5194;0.3773
87;3;2023;0.1048;0.5229;0.3723
88;4;2023;0.1;0.5083;0.3917
89;5;2023;0.1008;0.5108;0.3884
90;6;2023;0.1042;0.5208;0.375
91;7;2023;0.1089;0.5349;0.3562
92;8;2023;0.1048;0.5229;0.3723
93;9;2023;0.1042;0.5208;0.375
94;10;2023;0.105;0.5235;0.3715
95;11;2023;0.1;0.5083;0.3917
96;12;2023;0.1048;0.5229;0.3723
97;1;2024;0.1048;0.5229;0.3723
98;2;2024;0.1033;0.5194;0.3773
99;3;2024;0.1048;0.5229;0.3723
100;4;2024;0.1;0.5083;0.3917
101;5;2024;0.1008;0.5108;0.3884
102;6;2024;0.1042;0.5208;0.375
103;7;2024;0.1089;0.5349;0.3562
104;8;2024;0.1048;0.5229;0.3723
105;9;2024;0.1042;0.5208;0.375
106;10;2024;0.105;0.5235;0.3715
107;11;2024;0.1;0.5083;0.3917
108;12;2024;0.1048;0.5229;0.3723
109;1;2025;0.1048;0.5229;0.3723
110;2;2025;0.1033;0.5194;0.3773
111;3;2025;0.1048;0.5229;0.3723
112;4;2025;0.1;0.5083;0.3917
113;5;2025;0.1008;0.5108;0.3884
114;6;2025;0.1042;0.5208;0.375
115;7;2025;0.1089;0.5349;0.3562
116;8;2025;0.1048;0.5229;0.3723
117;9;2025;0.1042;0.5208;0.375
118;10;2025;0.105;0.5235;0.3715
119;11;2025;0.1;0.5083;0.3917
120;12;2025;0.1048;0.5229;0.3723
