;0;;
1;0.344865851;;
2;0.329098671;;
3;0.680274821;;
4;0.504364099;;
5;0.414102316;;
6;0.648347999;;
7;0.233314114;;
8;0.350417556;;
9;0.095897912;;
10;0.177703634;;
11;0.237152436;;
12;0.824392986;;
13;0.384044436;;
14;0.546349914;;
15;0.405967543;;
16;0.15051877;;
17;0.244677307;;
18;0.181742351;;
19;0.82943431;;
20;0.746649806;;
21;0.211720737;;
22;0.508562489;;
23;0.510137581;;
24;1.183804037;;
25;0.975496209;;
26;0.607385516;;
27;0.676172685;;
28;0.713362488;;
29;0.242157877;;
30;0.677099344;;
31;0.180383484;;
32;0.187860739;;
33;0.199548226;;
34;0.224473923;;
35;0.292387128;;
36;0.402990174;;
37;0.199580117;;
38;0.172688423;;
39;0.309379275;;
40;0.233314114;;
41;0.30891371;;
42;0.145790316;;
43;0.129747108;;
44;0.151775486;;
45;0.215157501;;
46;0.184626379;;
47;1.163464203;;
48;0.141780804;;
49;1.001909042;;
50;0.936181158;;
51;0.640073312;;
52;0.566050246;;
53;0.382992555;;
