AttMatriz;Iteradores;1;2;3;;;;
percentual_duracao_patamar_carga;01/01/2020;0.1008;0.5108;0.3884;;;;
percentual_duracao_patamar_carga;02/01/2020;0.1033;0.5194;0.3773;;;;
percentual_duracao_patamar_carga;03/01/2020;0.1048;0.5229;0.3723;;;;
percentual_duracao_patamar_carga;04/01/2020;0.1042;0.5208;0.375;;;;
percentual_duracao_patamar_carga;05/01/2020;0.1008;0.5108;0.3884;;;;
percentual_duracao_patamar_carga;06/01/2020;0.1083;0.5334;0.3583;;;;
percentual_duracao_patamar_carga;07/01/2020;0.1048;0.5229;0.3723;;;;
percentual_duracao_patamar_carga;08/01/2020;0.1089;0.5349;0.3562;;;;
percentual_duracao_patamar_carga;09/01/2020;0.1042;0.5208;0.375;;;;
percentual_duracao_patamar_carga;10/01/2020;0.1009;0.5115;0.3876;;;;
percentual_duracao_patamar_carga;11/01/2020;0.1;0.5083;0.3917;;;;
percentual_duracao_patamar_carga;12/01/2020;0.1089;0.5349;0.3562;;;;
percentual_duracao_patamar_carga;01/01/2021;0.1048;0.5229;0.3723;;;;
percentual_duracao_patamar_carga;02/01/2021;0.1025;0.5171;0.3804;;;;
percentual_duracao_patamar_carga;03/01/2021;0.1089;0.5349;0.3562;;;;
percentual_duracao_patamar_carga;04/01/2021;0.0958;0.4959;0.4083;;;;
percentual_duracao_patamar_carga;05/01/2021;0.1048;0.5229;0.3723;;;;
percentual_duracao_patamar_carga;06/01/2021;0.1042;0.5208;0.375;;;;
percentual_duracao_patamar_carga;07/01/2021;0.1048;0.5229;0.3723;;;;
percentual_duracao_patamar_carga;08/01/2021;0.1089;0.5349;0.3562;;;;
percentual_duracao_patamar_carga;09/01/2021;0.1042;0.5208;0.375;;;;
percentual_duracao_patamar_carga;10/01/2021;0.1009;0.5115;0.3876;;;;
percentual_duracao_patamar_carga;11/01/2021;0.1;0.5083;0.3917;;;;
percentual_duracao_patamar_carga;12/01/2021;0.1008;0.5108;0.3884;;;;
percentual_duracao_patamar_carga;01/01/2022;0.1048;0.5229;0.3723;;;;
percentual_duracao_patamar_carga;02/01/2022;0.1025;0.5171;0.3804;;;;
percentual_duracao_patamar_carga;03/01/2022;0.1048;0.5229;0.3723;;;;
percentual_duracao_patamar_carga;04/01/2022;0.1;0.5083;0.3917;;;;
percentual_duracao_patamar_carga;05/01/2022;0.1008;0.5108;0.3884;;;;
percentual_duracao_patamar_carga;06/01/2022;0.1083;0.5334;0.3583;;;;
percentual_duracao_patamar_carga;07/01/2022;0.1048;0.5229;0.3723;;;;
percentual_duracao_patamar_carga;08/01/2022;0.1089;0.5349;0.3562;;;;
percentual_duracao_patamar_carga;09/01/2022;0.1;0.5083;0.3917;;;;
percentual_duracao_patamar_carga;10/01/2022;0.105;0.5235;0.3715;;;;
percentual_duracao_patamar_carga;11/01/2022;0.1;0.5083;0.3917;;;;
percentual_duracao_patamar_carga;12/01/2022;0.1008;0.5108;0.3884;;;;
percentual_duracao_patamar_carga;01/01/2023;0.1048;0.5229;0.3723;;;;
percentual_duracao_patamar_carga;02/01/2023;0.107;0.5304;0.3626;;;;
percentual_duracao_patamar_carga;03/01/2023;0.1008;0.5108;0.3884;;;;
percentual_duracao_patamar_carga;04/01/2023;0.1042;0.5208;0.375;;;;
percentual_duracao_patamar_carga;05/01/2023;0.1048;0.5229;0.3723;;;;
percentual_duracao_patamar_carga;06/01/2023;0.1;0.5083;0.3917;;;;
percentual_duracao_patamar_carga;07/01/2023;0.1089;0.5349;0.3562;;;;
percentual_duracao_patamar_carga;08/01/2023;0.1089;0.5349;0.3562;;;;
percentual_duracao_patamar_carga;09/01/2023;0.1;0.5083;0.3917;;;;
percentual_duracao_patamar_carga;10/01/2023;0.105;0.5235;0.3715;;;;
percentual_duracao_patamar_carga;11/01/2023;0.1;0.5083;0.3917;;;;
percentual_duracao_patamar_carga;12/01/2023;0.1008;0.5108;0.3884;;;;
percentual_duracao_patamar_carga;01/01/2024;0.1048;0.5229;0.3723;;;;
percentual_duracao_patamar_carga;02/01/2024;0.1033;0.5194;0.3773;;;;
percentual_duracao_patamar_carga;03/01/2024;0.1048;0.5229;0.3723;;;;
percentual_duracao_patamar_carga;04/01/2024;0.1;0.5083;0.3917;;;;
percentual_duracao_patamar_carga;05/01/2024;0.1008;0.5108;0.3884;;;;
percentual_duracao_patamar_carga;06/01/2024;0.1042;0.5208;0.375;;;;
percentual_duracao_patamar_carga;07/01/2024;0.1089;0.5349;0.3562;;;;
percentual_duracao_patamar_carga;08/01/2024;0.1048;0.5229;0.3723;;;;
percentual_duracao_patamar_carga;09/01/2024;0.1042;0.5208;0.375;;;;
percentual_duracao_patamar_carga;10/01/2024;0.105;0.5235;0.3715;;;;
percentual_duracao_patamar_carga;11/01/2024;0.1;0.5083;0.3917;;;;
