UHE;PLANO;RHS;Q;V;S
1;1;0;0.34187;0;0
1;2;44.999;0.22648;0;0
2;1;0;0.37505;0;0
2;2;-6.94401735;0.23334;0.016147;0
3;1;0;0.67708;0;0
3;2;-38.304;0.44448;0.021863;0
4;1;0;0.49092;0;0
4;2;-59.447;0.48416;0.26043;0
5;1;0;0.40767;0;0
5;2;42.922;0.28777;0;0
6;1;0;0.58273;0;0
6;2;-39.924;0.53777;0.013595;0
7;1;0;0.23262;0;0
7;2;25.15;0.13999;0;0
8;1;0;0.35988;0;0
8;2;-27.531;0.32315;0.038831;0
9;1;0;0.10004;0;0
9;2;12.993;0.059941;0;0
10;1;0;0.21677;0;0
10;2;-5.2847;0.082254;0.044039;0
11;1;0;0.24953;0;0
11;2;7.3638;0.18712;0;0
12;1;0;0.80626;0;0
12;2;-96.329;0.63529;0.016803;0
13;1;0;0.37309;0;0
13;2;-99.567;0.25138;0.064654;0
14;1;0;0.57596;0;0
14;2;122.19;0.45546;0;0
15;1;0;0.41195;0;0
15;2;43.138;0.33176;0;0
16;1;0;0.1547;0;0
16;2;21.419;0.12576;0;0
17;1;0;0.25276;0;0
17;2;36.986;0.20606;0;0
18;1;0;0.20101;0;0
18;2;54.563;0.14611;0;0
19;1;0;0.86016;0;0
19;2;-2.6925;0.5771;0.052794;0
20;1;0;0.78881;0;0
20;2;20.832;0.50729;0;0
21;1;0;0.22255;0;0
21;2;16.23;0.10097;0;0
22;1;0;0.54635;0;0
22;2;-95.152;0.35533;0.10691;0
23;1;0;0.49607;0;0
23;2;-311.86;0.40301;0.053255;0
24;1;0;1.1827;0;0
24;2;-167.82;0.73487;0.035944;0
25;1;0;1.0169;0;0
25;2;-47.879;0.65922;0.01985;0
26;1;0;0.60042;0;0
26;2;-125.64;0.57252;0.12899;0
27;1;0;0.66607;0;0
27;2;-62.448;0.42597;0.13287;0
28;1;0;0.72123;0;0
28;2;-282.42;0.48252;0.061757;0
29;1;0;0.31432;0;0
29;2;119.06;0.21956;0;0
30;1;0;0.6517;0;0
30;2;-332.22;0.55323;0.04746;0
31;1;0;0.1962;0;0
31;2;-19.322;0.080943;0.033958;0
32;1;0;0.20513;0;0
32;2;46.342;0.11497;0;0
33;1;0;0.19734;0;0
33;2;32.645;0.12759;0;0
34;1;0;0.21075;0;0
34;2;-127.97;0.17087;0.024237;0
35;1;0;0.27573;0;0
35;2;90.493;0.18087;0;0
36;1;0;0.36402;0;0
36;2;-1562.1;0.31663;0.061337;0
37;1;0;0.18968;0;0
37;2;288.88;0.12044;0;0
38;1;0;0.18742;0;0
38;2;-409.9;0.16952;0.028465;0
39;1;0;0.30397;0;0
39;2;-33.965;0.22754;0.0088381;0
40;1;0;0.61363;0;0
40;2;-101.27;0.53053;0.017599;0
41;1;0;0.1639;0;0
41;2;12.656;0.12026;0;0
42;1;0;0.13021;0;0
42;2;14.484;0.091486;0;0
43;1;0;0.14961;0;0
43;2;15.646;0.10822;0;0
44;1;0;0.40045;0;0
44;2;-170.74;0.27995;0.035452;0
45;1;0;0.21777;0;0
45;2;74.278;0.16592;0;0
46;1;0;0.17053;0;0
46;2;98.713;0.10072;0;0
47;1;0;1.1838;0;0
47;2;-290.23722;0.7772;0.14703;0
48;1;0;0.15398;0;0
48;2;54.136;0.12153;0;0
49;1;0;1.0006;0;0
49;2;-391.24;0.95385;0.15271;0
50;1;0;0.928;0;0
50;2;-240.37;0.69234;0.090298;0
51;1;0;0.62908;0;0
51;2;128.09;0.48548;0;0
52;1;0;0.59369;0;0
52;2;100.58;0.49789;0;0
53;1;0;0.37889;0;0
53;2;-287.64;0.33303;0.028987;0
