ESTAGIO;MES;ANO;1
1;1;2016;1
2;2;2016;1
3;3;2016;1
4;4;2016;1
5;5;2016;1
6;6;2016;1
7;7;2016;1
8;8;2016;1
9;9;2016;1
10;10;2016;1
11;11;2016;1
12;12;2016;1
13;1;2017;1
14;2;2017;1
15;3;2017;1
16;4;2017;1
17;5;2017;1
18;6;2017;1
19;7;2017;1
20;8;2017;1
21;9;2017;1
22;10;2017;1
23;11;2017;1
24;12;2017;1
25;1;2018;1
26;2;2018;1
27;3;2018;1
28;4;2018;1
29;5;2018;1
30;6;2018;1
31;7;2018;1
32;8;2018;1
33;9;2018;1
34;10;2018;1
35;11;2018;1
36;12;2018;1
37;1;2019;1
38;2;2019;1
39;3;2019;1
40;4;2019;1
41;5;2019;1
42;6;2019;1
43;7;2019;1
44;8;2019;1
45;9;2019;1
46;10;2019;1
47;11;2019;1
48;12;2019;1
49;1;2020;1
50;2;2020;1
51;3;2020;1
52;4;2020;1
53;5;2020;1
54;6;2020;1
55;7;2020;1
56;8;2020;1
57;9;2020;1
58;10;2020;1
59;11;2020;1
60;12;2020;1
61;1;2021;1
62;2;2021;1
63;3;2021;1
64;4;2021;1
65;5;2021;1
66;6;2021;1
67;7;2021;1
68;8;2021;1
69;9;2021;1
70;10;2021;1
71;11;2021;1
72;12;2021;1
73;1;2022;1
74;2;2022;1
75;3;2022;1
76;4;2022;1
77;5;2022;1
78;6;2022;1
79;7;2022;1
80;8;2022;1
81;9;2022;1
82;10;2022;1
83;11;2022;1
84;12;2022;1
85;1;2023;1
86;2;2023;1
87;3;2023;1
88;4;2023;1
89;5;2023;1
90;6;2023;1
91;7;2023;1
92;8;2023;1
93;9;2023;1
94;10;2023;1
95;11;2023;1
96;12;2023;1
97;1;2024;1
98;2;2024;1
99;3;2024;1
100;4;2024;1
101;5;2024;1
102;6;2024;1
103;7;2024;1
104;8;2024;1
105;9;2024;1
106;10;2024;1
107;11;2024;1
108;12;2024;1
109;1;2025;1
110;2;2025;1
111;3;2025;1
112;4;2025;1
113;5;2025;1
114;6;2025;1
115;7;2025;1
116;8;2025;1
117;9;2025;1
118;10;2025;1
119;11;2025;1
120;12;2025;1
121;1;2026;1
